#0 ey,0 Sy,90 ey,90 Sy,45 ey,45 Sy
0.031537,67.854,0.060521,72.057,0.054787,71.959
0.031709,67.899,0.06097,72.121,0.055247,72.04
0.031871,67.969,0.06144,72.2,0.055865,72.112
0.032099,68.015,0.06183,72.243,0.056169,72.181
0.032279,68.078,0.062395,72.332,0.056486,72.242
0.032503,68.127,0.062819,72.389,0.056829,72.309
0.032659,68.18,0.063378,72.472,0.057069,72.37
0.032853,68.229,0.063874,72.524,0.057523,72.44
0.033054,68.29,0.064166,72.587,0.057871,72.481
0.033422,68.366,0.064614,72.644,0.058207,72.573
0.033456,68.419,0.065106,72.729,0.058715,72.635
0.03364,68.479,0.065528,72.793,0.05889,72.704
0.033919,68.539,0.065897,72.848,0.058968,72.721
0.03408,68.606,0.066345,72.929,0.059491,72.815
0.034257,68.656,0.066705,72.986,0.059832,72.885
0.034424,68.71,0.067068,73.078,0.059945,72.912
0.034685,68.755,0.067452,73.119,0.060223,72.982
0.034836,68.817,0.067777,73.198,0.060572,73.034
0.035031,68.872,0.068148,73.253,0.060819,73.089
0.035273,68.936,0.068371,73.31,0.061009,73.135
0.035406,68.986,0.068707,73.378,0.061184,73.198
0.035535,69.035,0.069141,73.433,0.061521,73.236
0.035792,69.088,0.069668,73.483,0.061828,73.314
0.035982,69.153,0.069957,73.525,0.061919,73.332
0.036165,69.204,0.070341,73.56,0.062343,73.42
0.03636,69.253,0.070831,73.634,0.062673,73.458
0.036474,69.289,0.07121,73.668,0.063044,73.527
0.036814,69.356,0.0718,73.73,0.063291,73.566
0.036941,69.399,0.072276,73.786,0.063407,73.609
0.037146,69.456,0.072902,73.857,0.06384,73.67
0.037331,69.506,0.073581,73.938,0.064134,73.726
0.037602,69.567,0.074338,74.018,0.064512,73.757
0.03776,69.616,0.074935,74.097,0.064872,73.829
0.037972,69.682,0.075657,74.162,0.065151,73.873
0.03816,69.737,0.076344,74.25,0.065634,73.931
0.038282,69.785,0.076958,74.302,0.066085,74.014
0.038544,69.843,0.077718,74.394,0.06664,74.08
0.038727,69.899,0.078312,74.441,0.067085,74.149
0.038937,69.951,0.079197,74.546,0.067531,74.203
0.039154,69.993,0.079864,74.598,0.067932,74.276
0.039336,70.041,0.080693,74.671,0.068514,74.344
0.039618,70.101,0.08133,74.725,0.068893,74.41
0.039715,70.147,0.082055,74.804,0.069447,74.467
0.039865,70.201,0.082862,74.892,0.069871,74.545
0.040145,70.257,0.083436,74.989,0.070451,74.59
0.040311,70.305,0.084198,75.09,0.070961,74.656
0.040543,70.361,0.084917,75.183,0.071393,74.704
0.040741,70.412,0.085258,75.223,0.072118,74.786
0.040999,70.46,0.085825,75.276,0.072705,74.846
0.041167,70.502,0.086406,75.34,0.073956,74.957
0.041389,70.549,0.086877,75.369,0.074253,75.021
0.041594,70.599,0.087314,75.401,0.074881,75.104
0.041788,70.652,0.087837,75.426,0.075714,75.194
0.042003,70.702,0.088524,75.46,0.076095,75.246
0.042255,70.764,0.088897,75.439,0.076981,75.343
0.042386,70.809,0.089763,75.486,0.077634,75.407
0.042562,70.864,0.090339,75.433,0.078279,75.489
0.042876,70.916,,,0.078838,75.546
0.043068,70.971,,,0.079336,75.624
0.043267,71.013,,,0.079955,75.67
0.043481,71.064,,,0.080491,75.759
0.043731,71.111,,,0.08107,75.804
0.043967,71.167,,,0.081433,75.879
0.044055,71.2,,,0.082151,75.94
0.044209,71.247,,,0.082332,76
0.04454,71.312,,,0.082705,76.033
0.044789,71.367,,,0.083224,76.098
0.044982,71.421,,,0.083438,76.137
0.045203,71.458,,,0.083681,76.165
0.045384,71.509,,,0.083896,76.193
0.045591,71.541,,,0.084398,76.257
0.045802,71.582,,,0.084419,76.272
0.046114,71.625,,,0.084692,76.309
0.046241,71.664,,,0.085045,76.359
0.046416,71.712,,,0.085301,76.402
0.046697,71.795,,,0.085577,76.437
0.046915,71.813,,,0.085835,76.442
0.047151,71.869,,,0.08598,76.485
0.047475,71.955,,,0.086172,76.495
0.047659,71.99,,,0.08646,76.546
0.047851,72.045,,,0.08636,76.51
